crime,number,location,BEAT,neighborhood,npu,lat,long,type,road,neighbourhood_lookup,county,postcode,ZONE,crimeid_x,dateid,neighborhoodid,npuid,neighbourhood_lookupid,locationid,BEATid,ZONEid,day,month,quarter,year,count_crime_type
BURGLARY-RESIDENCE,103041130,600 GREENSFERRY AVE SW,101,The Villages at Castleberry H,T,33.74662,-84.40755,house_number,Greensferry Avenue Southwest,Atlanta University Center,Fulton County,30314,1,7,1,14,1,15,18,15,5,31,10,4,2010,1
AUTO THEFT,103041136,1306 HILL ST SE,305,Chosewood Park,Y,33.71875,-84.37852,house_number,Hill Street Southeast,Roseland,Fulton County,30315,3,1,1,15,12,16,19,16,2,31,10,4,2010,1
LARCENY-FROM VEHICLE,103041181,2011 VENETIAN DR SW,409,Adams Park,R,33.71509,-84.4543,house_number,Venetian Drive Southwest,Adams Park,Fulton County,30311,4,2,1,16,4,4,20,17,1,31,10,4,2010,1
BURGLARY-RESIDENCE,103041224,292 MORGAN PLACE S.E.,611,East Lake,O,33.74446,-84.29171,house_number,Morgan Place Southeast,Glenwood Hills,DeKalb County,30317,6,7,1,17,10,17,21,18,3,31,10,4,2010,1
LARCENY-FROM VEHICLE,103041231,701 KENNOLIA DR SW,404,Westwood Terrace,I,33.73611,-84.44924,house_number,Kennolia Drive Southwest,Westview,Fulton County,30310,4,2,1,18,13,18,22,19,1,31,10,4,2010,1
BURGLARY-NONRES,103041236,2777 BURTON RD NW,111,Westhaven,I,33.75615,-84.47873,house_number,Burton Road Northwest,Stratford,Fulton County,30311,1,8,1,19,13,19,23,20,5,31,10,4,2010,1
LARCENY-NON VEHICLE,103041263,2700 PINE TREE DR NE,210,Pine Hills,B,33.82606,-84.35908,house_number,Arbor Gates Drive,The Hill,Fulton County,30324,2,3,1,20,7,20,24,21,6,31,10,4,2010,1
LARCENY-FROM VEHICLE,103041308,2086 CARVER DR,108,Dixie Hills,J,33.75973,-84.46253,house_number,Carver Drive Northwest,Dixie Hills,Fulton County,30314,1,2,1,21,6,21,25,22,5,31,10,4,2010,1
LARCENY-FROM VEHICLE,103041311,659 LARKIN ST SW,101,Atlanta University Center,T,33.74826,-84.40905,house_number,Larkin Street Southwest,Atlanta University Center,Fulton County,30314,1,2,1,22,1,15,26,15,5,31,10,4,2010,1
BURGLARY-RESIDENCE,103041320,556 CAIRO ST NW,106,Bankhead,K,33.76982,-84.41967,house_number,Cairo Street Northwest,English Ave.,Fulton County,30314,1,7,1,23,14,22,27,23,5,31,10,4,2010,1
AUTO THEFT,103041333,564 GRESHAM AVE SE,612,East Atlanta,W,33.73892,-84.34559,house_number,Gresham Avenue Southeast,East Atlanta Village,DeKalb County,30316,6,1,1,24,9,23,28,24,3,31,10,4,2010,1
LARCENY-NON VEHICLE,103041390,424 FLAT SHOALS AVE SE,612,East Atlanta,W,33.74249,-84.34745,house_number,Flat Shoals Avenue Southeast,East Atlanta Village,DeKalb County,30316,6,3,1,24,9,23,29,24,3,31,10,4,2010,1
LARCENY-FROM VEHICLE,103041424,COURTLAND ST NE / HARRIS ST NE,509,Downtown,M,33.76094,-84.38418,amenity,John Portman Boulevard Northeast,Hotel District,Fulton County,30303,5,2,1,5,3,5,30,5,4,31,10,4,2010,1
LARCENY-NON VEHICLE,103041455,FORSYTH ST NW / MARIETTA ST NW,511,Downtown,M,33.75543,-84.39104,road,Forsyth Street Northwest,Five Points,Fulton County,30303,5,3,1,5,3,9,31,25,4,31,10,4,2010,1
LARCENY-FROM VEHICLE,103041546,7TH ST NE / JUNIPER ST NE,505,Midtown,E,33.77843,-84.38274,house_number,7th Street Northeast,Midtown,Fulton County,30309,5,2,1,25,11,24,32,26,4,31,10,4,2010,1
LARCENY-FROM VEHICLE,103041561,JUNIPER ST NE / 10TH ST NE,503,Midtown,E,33.78175,-84.3825,building,Juniper Street Northeast,Midtown,Fulton County,30309,5,2,1,25,11,24,33,27,4,31,10,4,2010,1
LARCENY-FROM VEHICLE,103041587,836 MITCHELL ST SW,101,Atlanta University Center,T,33.75327,-84.41491,house_number,Mitchell Street Southwest,Atlanta University Center,Fulton County,30314,1,2,1,22,1,15,34,15,5,31,10,4,2010,1
AUTO THEFT,103041588,259 RICHARDSON ST SW,303,Mechanicsville,V,33.74083,-84.39654,house_number,Richardson Street Southwest,Mechanicsville,Fulton County,30312,3,1,1,9,8,10,35,10,2,31,10,4,2010,1
AGG ASSAULT,103041647,1123 JONES AVE,110,Grove Park,J,33.78545,-84.45178,house_number,Jones Avenue Northwest,West Highland,Fulton County,30318,1,5,1,26,6,25,36,28,5,31,10,4,2010,1
LARCENY-FROM VEHICLE,103041669,15 PEACHTREE ST SE,511,Downtown,M,33.75399,-84.38986,house_number,Pryor Street Southwest,Five Points,Fulton County,30303,5,2,1,5,3,9,37,25,4,31,10,4,2010,1
AUTO THEFT,103041670,303 PARKWAY DR NE,604,Old Fourth Ward,M,33.76286,-84.37405,amenity,Parkway Drive Northeast,Sweet Auburn,Fulton County,30312,6,1,1,3,3,26,38,3,3,31,10,4,2010,1
LARCENY-NON VEHICLE,103041700,50 ALABAMA ST SW,511,Downtown,M,33.75194,-84.38964,historic,Kimball Way Southeast,Five Points,Fulton County,30303,5,3,1,5,3,9,39,25,4,31,10,4,2010,1
LARCENY-FROM VEHICLE,103041703,895 RALPH D ABERNATHY BLVD SW,401,West End,T,33.7398,-84.41751,road,Skylofts Atlanta,West End,Fulton County,30310,4,2,1,1,1,1,40,1,1,31,10,4,2010,1
LARCENY-NON VEHICLE,103041704,1801 HOWELL MILL RD NW,204,Berkeley Park,D,33.80388,-84.41278,shop,Howell Mill Road Northwest,Woodward,Fulton County,30363,2,3,1,27,15,27,41,29,6,31,10,4,2010,1
AUTO THEFT,103041722,260 HOLLY RD NW,106,Knight Park/Howell Station,K,33.78633,-84.42786,road,West Marietta Street Northwest,Rockdale,Fulton County,30318,1,1,1,28,14,28,42,23,5,31,10,4,2010,1
LARCENY-NON VEHICLE,103041750,1801 HOWELL MILL RD NW,204,Berkeley Park,D,33.80388,-84.41278,shop,Howell Mill Road Northwest,Woodward,Fulton County,30363,2,3,1,27,15,27,41,29,6,31,10,4,2010,1
LARCENY-FROM VEHICLE,103041776,PRATT ST SE / ARMSTRONG ST SE,510,Downtown,M,33.75187,-84.38083,house_number,Pratt Street Southeast,Sweet Auburn,Fulton County,30303,5,2,1,5,3,26,43,30,4,31,10,4,2010,1
AUTO THEFT,103041794,2715 PEACHTREE RD NE,206,Garden Hills,B,33.82924,-84.38579,leisure,Peachtree Road Northeast,Brookwood Hills,Fulton County,30305,2,1,1,29,7,29,44,31,6,31,10,4,2010,1
LARCENY-FROM VEHICLE,103041832,1117 SAINT CHARLES PL NE,601,Atkins Park,F,33.77518,-84.35081,house_number,Saint Charles Place Northeast,Linwood,Fulton County,30306,6,2,1,30,16,30,45,32,3,31,10,4,2010,1
LARCENY-FROM VEHICLE,103041860,480 JOHN WESLEY DOBBS AVE NE,604,Old Fourth Ward,M,33.75961,-84.37127,building,John Wesley Dobbs Avenue Northeast,Sweet Auburn,Fulton County,30312,6,2,1,3,3,26,46,3,3,31,10,4,2010,1
BURGLARY-RESIDENCE,103041864,765 MCDANIEL ST SW,302,Pittsburgh,V,33.73396,-84.40177,house_number,McDaniel Street Southwest,Pittsburgh,Fulton County,30310,3,7,1,31,8,31,47,33,2,31,10,4,2010,1
LARCENY-NON VEHICLE,103041887,2178 CAMPBELLTON RD SW,410,Campbellton Road,R,33.70514,-84.45947,house_number,Campbellton Road Southwest,Adams Park,Fulton County,30311,4,3,1,4,4,4,48,4,1,31,10,4,2010,1
AGG ASSAULT,103041966,1655 ROGERS AVE SW,404,Westview,T,33.73751,-84.44186,house_number,Rogers Avenue Southwest,Westview,Fulton County,30310,4,5,1,32,1,18,49,19,1,31,10,4,2010,1
AGG ASSAULT,103041975,608 MCDANIEL STREET,303,Mechanicsville,V,33.73849,-84.40166,house_number,McDaniel Street Southwest,Mechanicsville,Fulton County,30312,3,5,1,9,8,10,50,10,2,31,10,4,2010,1
LARCENY-FROM VEHICLE,103042095,829 BECKWITH ST SW,101,Atlanta University Center,T,33.75233,-84.41473,house_number,Beckwith Street Southwest,Atlanta University Center,Fulton County,30314,1,2,1,22,1,15,51,15,5,31,10,4,2010,1
BURGLARY-RESIDENCE,103042108,208 ADAIR AVE SE,307,Lakewood Heights,Y,33.7064,-84.38124,house_number,Adair Avenue Southeast,Lakewood Heights,Fulton County,30315,3,7,1,33,12,32,52,34,2,31,10,4,2010,1
LARCENY-NON VEHICLE,103042132,590 CASADE,402,West End,T,33.73812,-84.43276,shop,Oglethorpe Avenue Southwest,Westview,Fulton County,30310,4,3,1,1,1,18,53,35,1,31,10,4,2010,1
LARCENY-FROM VEHICLE,103042152,1801 HOWELL MILL RD NW,204,Berkeley Park,D,33.80448,-84.41348,shop,Howell Mill Road Northwest,Woodward,Fulton County,30318,2,2,1,27,15,27,54,29,6,31,10,4,2010,1
AGG ASSAULT,103042163,1048 FERN AVE SE,304,Peoplestown,V,33.72592,-84.38498,house_number,Fern Avenue Southeast,Peoplestown,Fulton County,30315,3,5,1,34,8,11,55,36,2,31,10,4,2010,1
HOMICIDE,-2147483648,912 JOSEPH E BOONE DR NW,102,Vine City,L,33.76326,-84.41711,house_number,Joseph E. Boone Boulevard Northwest,English Ave.,Fulton County,30314,1,9,1,35,17,22,56,37,5,31,10,4,2010,41
HOMICIDE,-2147483648,499 FEDERAL TER SE,305,Chosewood Park,Y,33.71465,-84.37172,house_number,Federal Terrace Southeast,Roseland,Fulton County,30315,3,9,1,15,12,16,57,16,2,31,10,4,2010,41
HOMICIDE,-2147483648,1045 DONALD LEE HOLLOWELL PKWY NW,106,Bankhead,K,33.7733,-84.42174,house_number,Donald Lee Hollowell Parkway Northwest,Bellwood,Fulton County,30318,1,9,1,23,14,33,58,23,5,31,10,4,2010,41
HOMICIDE,-2147483648,1025 OAK ST SW,401,West End,T,33.74094,-84.42141,house_number,Oak Street Southwest,West End,Fulton County,30310,4,9,1,1,1,1,59,1,1,31,10,4,2010,41
HOMICIDE,-2147483648,2070 RIDGEDALE RD NE,610,Kirkwood,O,33.7534,-84.31982,house_number,Ridgedale Road Northeast,Kirkwood,DeKalb County,30317,6,9,24,61,10,54,1203,54,3,8,10,4,2010,41
HOMICIDE,-2147483648,393 RAWSON ST SW,303,Mechanicsville,V,33.74307,-84.4011,house_number,Rawson Street Southwest,Mechanicsville,Fulton County,30312,3,9,24,9,8,10,1204,10,2,8,10,4,2010,41
HOMICIDE,-2147483648,2591 ETHERIDGE DR NW,113,Carey Park,G,33.7881,-84.47292,house_number,Etheridge Drive Northwest,Carey Park,Fulton County,30318,1,9,24,75,22,40,452,53,5,8,10,4,2010,41
HOMICIDE,-2147483648,226 SAMPSON ST NE,604,Old Fourth Ward,M,33.76031,-84.36575,house_number,Sampson Street Northeast,Inman Park,Fulton County,30312,6,9,33,3,3,3,1570,3,3,30,10,4,2011,41
HOMICIDE,-2147483648,1845 LAKEWOOD TER SE,307,Lakewood Heights,Y,33.70381,-84.37988,house_number,Lakewood Terrace Southeast,Lakewood Heights,Fulton County,30315,3,9,48,33,12,32,2174,34,2,15,10,4,2011,41
HOMICIDE,-2147483648,842 MARTIN L KING JR DR SW,101,Atlanta University Center,T,33.75461,-84.4155,house_number,Martin Luther King Jr Drive Southwest,Vine City,Fulton County,30314,1,9,48,22,1,46,2175,15,5,15,10,4,2011,41
HOMICIDE,-2147483648,1980 DONALD LEE HOLLOWELL NW,107,Grove Park,J,33.77593,-84.44938,amenity,Donald Lee Hollowell Parkway Northwest,Grove Park,Fulton County,30318,1,9,49,26,6,43,2176,63,5,14,10,4,2011,41
HOMICIDE,-2147483648,1033 HOLLYWOOD RD NW,110,Almond Park,G,33.78308,-84.45882,house_number,Hollywood Road Northwest,Grove Park,Fulton County,30318,1,9,60,47,22,43,431,28,5,3,10,4,2011,41
HOMICIDE,-2147483648,1572 DONALD LE HOLLOWELL PKWY NW,107,Grove Park,J,33.77139,-84.44004,house_number,Donald Lee Hollowell Parkway Northwest,Grove Park,Fulton County,30318,1,9,72,26,6,43,3030,63,5,22,10,4,2012,41
HOMICIDE,-2147483648,1992 CASCADE RD SW,409,Adams Park,R,33.72072,-84.4538,house_number,Cascade Road,Westview,Fulton County,30311,4,9,76,16,4,18,3121,17,1,18,10,4,2012,41
HOMICIDE,-2147483648,934 AVON AVE.,301,Capitol View,X,33.72211,-84.41766,house_number,Avon Avenue Southwest,Capitol View,Fulton County,30310,3,9,79,89,2,2,3175,2,2,15,10,4,2012,41
HOMICIDE,-2147483648,429 COOPER ST SW,303,Mechanicsville,V,33.7431,-84.39721,house_number,Cooper Street Southwest,Mechanicsville,Fulton County,30312,3,9,81,9,8,10,3287,10,2,13,10,4,2012,41
HOMICIDE,-2147483648,MORELAND AVE NE @ PONCE DE LEON AVE NE,601,Druid Hills,F,33.77384,-84.34898,amenity,Ponce de Leon Avenue Northeast,Linwood,Fulton County,30306,6,9,89,113,16,30,3560,32,3,5,10,4,2012,41
HOMICIDE,-2147483648,1511 OLYMPIAN WAY SW,404,Westview,T,33.73568,-84.43705,house_number,Olympian Way Southwest,Westview,Fulton County,30310,4,9,98,32,1,18,3825,19,1,27,10,4,2013,41
HOMICIDE,-2147483648,99 SPRING ST SW,507,Castleberry Hill,M,33.75204,-84.39628,building,Ted Turner Drive Southwest,Castleberry Hill,Fulton County,30303,5,9,103,13,3,14,3964,14,4,22,10,4,2013,41
HOMICIDE,-2147483648,1941 MYRTLE DR SW,410,Campbellton Road,R,33.70313,-84.45511,house_number,Myrtle Drive Southwest,Adams Park,Fulton County,30311,4,9,105,4,4,4,4018,4,1,20,10,4,2013,41
HOMICIDE,-2147483648,1717 CENTRA VILLA DR SW,409,Adams Park,R,33.70928,-84.45571,house_number,Centra Villa Drive Southwest,Adams Park,Fulton County,30311,4,9,113,16,4,4,1514,17,1,12,10,4,2013,41
HOMICIDE,-2147483648,885 FLAT SHOALS AVE SE,612,East Atlanta,W,33.73082,-84.33684,shop,Flat Shoals Avenue Southeast,Brownwood,DeKalb County,30316,6,9,117,24,9,35,4355,24,3,8,10,4,2013,41
HOMICIDE,-2147483648,500 JAMES P BRAWLEY DR NW,103,English Avenue,L,33.76834,-84.41278,house_number,James P Brawley Drive Northwest,English Ave.,Fulton County,30318,1,9,147,37,17,22,920,39,5,9,10,4,2014,41
HOMICIDE,-2147483648,1029 MCDANIEL ST SW,302,Pittsburgh,V,33.72678,-84.4018,house_number,McDaniel Street Southwest,Pittsburgh,Fulton County,30310,3,9,148,31,8,31,253,33,2,8,10,4,2014,41
HOMICIDE,-2147483648,510 MARY ST SW,302,Pittsburgh,V,33.72918,-84.40468,house_number,Mary Street Southwest,Pittsburgh,Fulton County,30310,3,9,162,31,8,31,5592,33,2,25,10,4,2015,41
HOMICIDE,-2147483648,1205 METROPOLITAN AVE SE,612,East Atlanta,W,33.74173,-84.34749,house_number,Metropolitan Avenue Southeast,East Atlanta Village,DeKalb County,30316,6,9,187,24,9,23,6176,24,3,31,10,4,2016,41
HOMICIDE,-2147483648,1891 MARKONE ST NW,107,Grove Park,J,33.77,-84.44895,house_number,Markone Street Northwest,Grove Park,Fulton County,30318,1,9,190,26,6,43,6270,63,5,28,10,4,2016,41
HOMICIDE,-2147483648,1058 RIDGE AVE SW,304,Peoplestown,V,33.7262,-84.39163,house_number,Ridge Avenue Southwest,Peoplestown,Fulton County,30315,3,9,193,34,8,11,5435,36,2,25,10,4,2016,41
HOMICIDE,-2147483648,200 HARWELL PL NW,112,Collier Heights,I,33.78071,-84.4944,house_number,Harwell Place Northwest,Collier Heights,Fulton County,30318,1,9,200,57,13,59,6476,52,5,18,10,4,2016,41
HOMICIDE,-2147483648,1080 PEACHTREE ST NE,503,Midtown,E,33.78409,-84.38353,building,Peachtree Street Northeast,Midtown,Fulton County,30309,5,9,215,25,11,24,3505,27,4,3,10,4,2016,41
HOMICIDE,-2147483648,490 WHITEHALL ST SW,507,Castleberry Hill,M,33.74348,-84.40341,house_number,Whitehall Street Southwest,Castleberry Hill,Fulton County,30303,5,9,216,13,3,14,1656,14,4,2,10,4,2016,41
HOMICIDE,-2147483648,44 PRYOR ST SE,509,Downtown,M,33.75332,-84.38931,historic,Kimball Way Southeast,Five Points,Fulton County,30303,5,9,221,5,3,9,5487,5,4,28,10,4,2009,41
HOMICIDE,-2147483648,ROCKWELL ST SW @ WELCH ST SW,302,Pittsburgh,V,33.73192,-84.40473,house_number,Rockwell Street Southwest,Pittsburgh,Fulton County,30310,3,9,223,31,8,31,7007,33,2,26,10,4,2009,41
HOMICIDE,-2147483648,1680 CAHOON ST SW,306,Sylvan Hills,X,33.70911,-84.41285,house_number,Lisbon Drive Southwest,Sylvan Hills,Fulton County,30310,3,9,226,39,2,38,7120,42,2,23,10,4,2009,41
HOMICIDE,-2147483648,1518 JONESBORO RD SE,305,South Atlanta,Y,33.71288,-84.38223,house_number,Jonesboro Road Southeast,Lakewood Heights,Fulton County,30315,3,9,227,48,12,32,2284,16,2,22,10,4,2009,41
HOMICIDE,-2147483648,1174 HUBBARD ST SW,303,Pittsburgh,V,33.7229,-84.40228,house_number,Hubbard Street Southwest,Pittsburgh,Fulton County,30310,3,9,235,31,8,31,7341,10,2,14,10,4,2009,41
HOMICIDE,-2147483648,846 DRUMMOND ST SW,101,Atlanta University Center,T,33.75265,-84.41527,house_number,Drummond Street Southwest,Atlanta University Center,Fulton County,30314,1,9,235,22,1,15,7342,15,5,14,10,4,2009,41
HOMICIDE,-2147483648,1303 RALPH D ABERNATHY BLVD SW,401,West End,T,33.73928,-84.43018,amenity,Ralph David Abernathy Boulevard,West End,Fulton County,30310,4,9,236,1,1,1,6835,1,1,13,10,4,2009,41
HOMICIDE,-2147483648,449 ATWOOD ST SW,401,West End,T,33.74289,-84.42906,house_number,Atwood Street Southwest,West End,Fulton County,30310,4,9,255,1,1,1,7837,1,1,25,1,1,2010,41
HOMICIDE,-2147483648,156 DAHLIA ST NW,108,Dixie Hills,J,33.75842,-84.4624,house_number,Dahlia Avenue Northwest,Dixie Hills,Fulton County,30314,1,9,258,21,6,21,7899,22,5,22,1,1,2010,41
HOMICIDE,-2147483648,1525 GLENWOOD AVE SE,612,East Atlanta,W,33.73978,-84.33768,house_number,Pasley Avenue Southeast,Brownwood,DeKalb County,30316,6,9,271,24,9,35,8161,24,3,9,1,1,2010,41
LARCENY-NON VEHICLE,103032507,80 JESSE HILL JR DR SE,510,Downtown,M,33.75168,-84.38198,amenity,Downtown Connector,Sweet Auburn,Fulton County,30312,5,3,2,5,3,26,60,30,4,30,10,4,2010,1
AGG ASSAULT,103032617,3380 COLLIER DR NW,114,Fairburn Heights,H,33.76826,-84.49851,house_number,Collier Drive Northwest,Fairburn Heights,Fulton County,30331,1,5,2,36,18,34,61,38,5,30,10,4,2010,1
LARCENY-FROM VEHICLE,103031107,370 NORTHSIDE DR NW,103,English Avenue,L,33.76527,-84.40498,house_number,Western Avenue Northwest,English Ave.,Fulton County,30314,1,2,2,37,17,22,62,39,5,30,10,4,2010,1
LARCENY-FROM VEHICLE,103031141,1351 ORMEWOOD AVE SE,612,East Atlanta,W,33.73384,-84.34341,house_number,Ormewood Avenue Southeast,Brownwood,DeKalb County,30316,6,2,2,24,9,35,63,24,3,30,10,4,2010,1
LARCENY-FROM VEHICLE,103031163,122 MLK JR DR SW,512,Downtown,M,33.75177,-84.39182,office,Pryor Street,Five Points,Fulton County,30303,5,2,2,5,3,9,64,40,4,30,10,4,2010,1
BURGLARY-RESIDENCE,103031169,300 PEACHTREE ST NE,508,Downtown,M,33.76293,-84.38714,amenity,Peachtree Street Northeast,Hotel District,Fulton County,30308,5,7,2,5,3,5,65,9,4,30,10,4,2010,1
AUTO THEFT,103031236,2 13TH ST NE,503,Midtown,E,33.7858,-84.38757,building,West Peachtree Street Northwest,Midtown,Fulton County,30309,5,1,2,25,11,24,66,27,4,30,10,4,2010,1
LARCENY-FROM VEHICLE,103031257,23 LARKIN PL SW,507,Castleberry Hill,M,33.74749,-84.40414,house_number,Bettys Alley,Castleberry Hill,Fulton County,30313,5,2,2,13,3,14,67,14,4,30,10,4,2010,1
AUTO THEFT,103031315,2886 MEMORIAL DR SE,611,East Lake,O,33.74741,-84.29245,shop,Memorial Drive Southeast,East Lake Highlands,DeKalb County,30317,6,1,2,17,10,36,68,18,3,30,10,4,2010,1
LARCENY-FROM VEHICLE,103031385,BAKER ST NE / PEACHTREE ST NW,508,Downtown,M,33.76226,-84.38755,amenity,Baker Street Northwest,Hotel District,Fulton County,30313,5,2,2,5,3,5,69,9,4,30,10,4,2010,1
ROBBERY-PEDESTRIAN,103031508,765 SPRINGLAKE LN NW,205,Springlake,C,33.81108,-84.41356,house_number,Springlake Lane,Ellsworth Park,Fulton County,30318,2,4,2,38,19,37,70,41,6,30,10,4,2010,1
LARCENY-FROM VEHICLE,103031540,ARMSTRONG ST SE / PRATT ST SE,510,Downtown,M,33.75187,-84.38083,house_number,Pratt Street Southeast,Sweet Auburn,Fulton County,30303,5,2,2,5,3,26,43,30,4,30,10,4,2010,1
BURGLARY-RESIDENCE,103031563,1759 CAHOON ST SW,306,Sylvan Hills,X,33.70799,-84.41137,house_number,Cahoon Street Southwest,Sylvan Hills,Fulton County,30310,3,7,2,39,2,38,71,42,2,30,10,4,2010,1
LARCENY-NON VEHICLE,103031573,412 MORELAND AVE NE,602,Inman Park,N,33.76582,-84.34917,shop,Moreland Avenue Northeast,Little Five Points,Fulton County,30306,6,3,2,6,5,6,72,6,3,30,10,4,2010,1
LARCENY-NON VEHICLE,103031590,1073 PIEDMONT AVE NE @PIEDMONT PARK,502,Midtown,E,33.78384,-84.37897,amenity,Piedmont Avenue Northeast,Midtown,Fulton County,30305,5,3,2,25,11,24,73,43,4,30,10,4,2010,1
BURGLARY-RESIDENCE,103031646,2403 SUNRIDGE AVE SE,310,Browns Mill Park,Z,33.68863,-84.38307,house_number,Sunridge Avenue Southeast,Browns Mill,Fulton County,30315,3,7,2,40,20,39,74,44,2,30,10,4,2010,1
BURGLARY-RESIDENCE,103031746,898 CAPITOL VIEW AVE NW,109,Center Hill,J,33.77952,-84.46747,house_number,Capitol View Avenue Northwest,Carey Park,Fulton County,30318,1,7,2,7,6,40,75,7,5,30,10,4,2010,1
LARCENY-FROM VEHICLE,103031804,36 HARRIS ST,509,Downtown,M,33.76097,-84.38604,building,Peachtree Center Avenue Northeast,Hotel District,Fulton County,30303,5,2,2,5,3,5,76,5,4,30,10,4,2010,1
LARCENY-NON VEHICLE,103031922,3616 BOLFAIR DR NW,114,Carroll Heights,H,33.77721,-84.50587,house_number,Bolfair Drive Northwest,Fairburn Heights,Fulton County,30331,1,3,2,41,18,34,77,38,5,30,10,4,2010,1
LARCENY-FROM VEHICLE,103032002,2525 PIEDMONT RD,211,Lindbergh/Morosgo,B,33.824,-84.36521,shop,Morosgo Drive Northeast,Lindbergh,Fulton County,30324,2,2,2,8,7,8,78,8,6,30,10,4,2010,1
ROBBERY-PEDESTRIAN,103032013,864 HALL ST NW,109,Center Hill,J,33.77859,-84.46616,house_number,Hall Street Northwest,Carey Park,Fulton County,30318,1,4,2,7,6,40,79,7,5,30,10,4,2010,1
LARCENY-NON VEHICLE,103032044,199 11TH ST NE,503,Midtown,E,33.78291,-84.3807,house_number,11th Street Northeast,Midtown,Fulton County,30309,5,3,2,25,11,24,80,27,4,30,10,4,2010,1
